No,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1,21.2,11.0,7.5,4.8,5,2.0,2.0,2.8,2.8,3.3,3,4.4,4.5,3.6,7.0,4.0,8,0,3.0
2,20.2,10.0,7.5,5.0,5,2.3,2.1,3.0,3.0,3.2,5,4.2,4.5,3.5,7.6,4.2,8,0,3.0
3,20.2,10.0,7.0,4.6,5,1.9,2.1,3.0,2.5,3.3,1,4.2,4.4,3.3,7.0,4.0,6,0,3.0
4,22.5,8.8,7.4,4.7,5,2.4,2.1,3.0,2.7,3.5,5,4.2,4.4,3.6,6.8,4.1,6,0,3.0
5,20.6,11.0,8.0,4.8,5,2.4,2.0,2.9,2.7,3.0,4,4.2,4.7,3.5,6.7,4.0,6,0,3.0
6,19.1,9.2,7.0,4.5,5,1.8,1.9,2.8,3.0,3.2,5,4.1,4.3,3.3,5.7,3.8,8,0,3.5
7,20.8,11.4,7.7,4.9,5,2.5,2.1,3.1,3.1,3.2,4,4.2,4.7,3.6,6.6,4.0,8,0,3.0
8,15.5,8.2,6.3,4.9,5,2.0,2.0,2.9,2.4,3.0,3,3.7,3.8,2.9,6.7,3.5,6,0,3.5
9,16.7,8.8,6.4,4.5,5,2.1,1.9,2.8,2.7,3.1,3,3.7,3.8,2.8,6.1,3.7,8,0,3.0
10,19.7,9.9,8.2,4.7,5,2.2,2.0,3.0,3.0,3.1,0,4.1,4.3,3.3,6.0,3.8,8,0,3.0
11,10.6,5.2,3.9,2.3,4,1.2,1.0,2.0,2.0,2.2,6,2.5,2.5,2.0,4.5,2.7,4,1,2.0
12,9.2,4.5,3.7,2.2,4,1.3,1.2,2.0,1.6,2.1,5,2.4,2.3,1.8,4.1,2.4,4,1,2.0
13,9.6,4.5,3.6,2.3,4,1.3,1.0,1.9,1.7,2.2,4,2.4,2.3,1.7,4.0,2.3,4,1,2.0
14,8.5,4.0,3.8,2.2,4,1.3,1.1,1.9,2.0,2.1,5,2.4,2.4,1.9,4.4,2.3,4,1,2.0
15,11.0,4.7,4.2,2.3,4,1.2,1.0,1.9,2.0,2.2,4,2.5,2.5,2.0,4.5,2.6,4,1,2.0
16,18.1,8.2,5.9,3.5,5,1.9,1.9,1.9,2.7,2.8,4,3.5,3.8,2.9,6.0,4.5,9,1,2.0
17,17.6,8.3,6.0,3.8,5,2.0,1.9,2.0,2.2,2.9,3,3.5,3.6,2.8,5.7,4.3,10,1,2.0
18,19.2,6.6,6.2,3.4,5,2.0,1.8,2.2,2.3,2.8,4,3.5,3.4,2.5,5.3,3.8,10,1,2.0
19,15.4,7.6,7.1,3.4,5,2.0,1.9,2.5,2.5,2.9,4,3.3,3.6,2.7,6.0,4.2,8,1,3.0
20,15.1,7.3,6.2,3.8,5,2.0,1.8,2.1,2.4,2.5,4,3.7,3.7,2.8,6.4,4.3,10,1,2.5
21,16.1,7.9,5.8,3.7,5,2.1,1.9,2.3,2.6,2.9,5,3.6,3.6,2.7,6.0,4.5,10,1,2.0
22,19.1,8.8,6.4,3.9,5,2.2,2.0,2.3,2.4,2.9,4,3.8,4.0,3.0,6.5,4.5,10,1,2.5
23,15.3,6.4,5.3,3.3,5,1.7,1.6,2.0,2.2,2.5,5,3.4,3.4,2.6,5.4,4.0,10,1,2.0
24,14.8,8.1,6.2,3.7,5,2.2,2.0,2.2,2.4,3.2,5,3.5,3.7,2.7,6.0,4.1,10,1,2.0
25,16.2,7.7,6.9,3.7,5,2.0,1.8,2.3,2.4,2.8,4,3.8,3.7,2.7,5.7,4.2,10,1,2.5
26,13.4,6.9,5.7,3.4,5,2.0,1.8,2.8,2.0,2.6,4,3.6,3.6,2.6,5.5,3.9,10,1,2.0
27,12.9,5.8,4.8,2.6,5,1.6,1.5,1.9,2.1,2.6,5,2.8,3.0,2.2,5.1,3.6,9,1,3.0
28,12.0,6.5,5.3,3.2,5,1.9,1.9,2.3,2.5,3.0,5,3.3,3.5,2.6,5.4,4.3,8,1,2.0
29,14.1,7.0,5.5,3.6,5,2.2,2.0,2.3,2.5,3.1,5,3.6,3.7,2.8,5.8,4.1,10,1,2.0
30,16.7,7.2,5.7,3.5,5,1.9,1.9,2.5,2.3,2.8,5,3.4,3.6,2.7,6.0,4.0,10,1,2.5
31,14.1,5.4,5.0,3.0,5,1.7,1.6,1.8,2.5,2.4,5,2.7,2.9,2.2,5.3,3.6,8,1,2.0
32,10.0,6.0,4.2,2.5,5,1.6,1.4,1.4,2.0,2.7,6,2.8,2.5,1.8,4.8,3.4,8,1,2.0
33,11.4,4.5,4.4,2.7,5,1.8,1.5,1.9,1.7,2.5,5,2.7,2.5,1.9,4.7,3.7,8,1,2.0
34,12.5,5.5,4.7,2.3,5,1.8,1.4,1.8,2.2,2.4,4,2.8,2.6,2.0,5.1,3.7,8,0,2.0
35,13.0,5.3,4.7,2.3,5,1.6,1.4,1.8,1.8,2.5,4,2.7,2.7,2.1,5.0,3.6,8,1,2.0
36,12.4,5.2,4.4,2.6,5,1.6,1.4,1.8,2.2,2.2,5,2.7,2.5,2.0,5.0,3.2,6,1,2.0
37,12.0,5.4,4.9,3.0,5,1.7,1.5,1.7,1.9,2.4,5,2.7,2.7,2.0,4.2,3.7,6,1,2.0
38,10.7,5.6,4.5,2.8,5,1.8,1.4,1.8,2.2,2.4,4,2.7,2.6,2.0,5.0,3.5,8,1,2.0
39,11.7,5.5,4.3,2.6,5,1.7,1.5,1.8,1.9,2.4,5,2.6,2.5,1.9,4.6,3.4,8,1,2.0
40,12.8,5.7,4.8,2.8,5,1.6,1.4,1.7,1.9,2.3,5,2.3,2.5,1.9,5.0,3.1,8,1,2.0
